,Name,Year,tp,fp,fn,tn
1,Lussi et al. 2001,2001,123,1,72,136
2,Hibst et al. 2001,2001,63,2,37,230
4,Huysmans et al. 1997,1997,58,6,46,78
5,Diniz et al. 2009,2009,25,14,52,75
6,Wenzel et al. 1991,1991,39,8,43,76
7,Costa et al. 2008,2008,13,6,37,95
10,Rodrigues et al. 2008,2008,19,2,36,62
11,Ariji et al. 1998,1998,14,6,31,67
13,Huysmans et al. 1998,1998,26,8,18,55
14,Diniz et al. 2012,2012,12,2,15,76
15,Burin et al. 2005,2005,5,4,13,83
16,Ashley et al. 1998,1998,8,7,29,59
17,Hintze et al. 1996,1996,31,12,16,44
18,Ketley et al. 1993,1993,41,6,3,50
19,Young et al. 2009,2009,23,6,13,50
20,Olmez et al. 2006,2006,26,0,45,17
21,Jablonski-Momeni et al. 2012,2012,11,4,29,40
22,Espelid et al. 1994,1994,23,13,3,43
23,Verdonschot et al. 1993,1993,33,6,21,21
24,Wenzel et al. 1991,1991,34,4,20,23
25,Wenzel et al. 1992,1992,30,5,22,21
26,Reis et al. 2004,2004,7,10,8,49
27,Manton et al. 2007,2007,2,3,13,49
28,Lussi et al. 1993,1993,15,5,18,25
29,Cayley et al. 1997,1997,18,9,9,24
30,Co?rtes et al. 2000,2000,16,7,3,33
31,van Amerongen et al. 1992,1992,37,0,7,15
32,Kühnisch et al. 2009,2009,15,8,7,24
35,Ricketts et al. 1997,1997,7,3,23,15
36,Nielsen et al. 1996,1996,20,4,12,12
37,Ricketts et al. 1995,1995,20,4,12,12
39,Graye et al. 2012,2012,9,0,10,22
40,Mestriner et al. 2005,2005,5,5,7,21
41,Wenzel et al. 1992,1992,14,3,9,11
44,Espelid et al. 2001,2001,8,1,2,9
