,Name,Year,tp,fp,fn,tn
1,Wenzel et al. 2002,2002,22,15,33,293
2,Kay et al. 1996,1996,16,19,27,298
3,Kay et al. 1992,1992,11,12,32,286
4,Peers et al. 1993,1993,30,11,21,260
5,Haak et al. 2003,2003,39,10,80,191
6,White et al. 1997,1997,38,5,42,235
7,Ariji et al. 1998,1998,34,4,62,136
8,Ricketts et al. 1997,1997,4,1,20,155
9,Tracy et al. 2011,2011,10,7,18,124
10,Ekstrand et al. 2011,2011,12,0,10,129
11,Espelid et al. 1986,1986,39,6,27,79
12,Lussi et al. 2006,2006,17,12,20,101
13,Ástvaldsdóttir et al. 2012,2012,8,2,9,93
14,Mileman et al. 2002,1990/2002,27,3,18,57
15,Behere et al. 2011,2011,1,0,3,96
16,Young et al. 2009,2009,8,3,17,72
17,Schulze et al. 2008,2008,9,8,7,76
18,Nair et al. 2001,2001,17,7,4,64
19,Shimada et al. 2013,2013,12,5,21,48
20,Schulte et al. 2008,2008,12,1,15,32
21,Mitropoulos et al. 2010,2010,9,4,9,18
22,Espelid et al. 2001,2001,6,3,2,13
