,Name,Year,tp,fp,fn,tn
1,Huysmans et al. 1997,1997,45,16,104,245
2,Wenzel et al. 2002,2002,41,9,96,217
3,Haak et al. 2003,2003,81,7,132,100
4,White et al. 1997,1997,94,7,146,73
5,Senel et al. 2010,2010,64,11,70,131
6,Schulze et al. 2004,2004,26,42,52,120
7,Ariji et al. 1998,1998,55,6,127,48
8,Hintze et al. 1996,1996,14,12,45,153
9,Svanaes et al. 2000,2000,75,9,62,77
10,Ricketts et al. 1997,1997,15,3,54,108
11,Pakkala et al. 2012,2012,11,7,48,94
12,Kamburoglu et al. 2012,2012,62,2,19,77
13,Isidor et al. 2009,2009,9,5,51,95
14,Haiter-Neto et al. 2009,2009,15,16,44,85
15,Haiter-Neto et al. 2008,2008,11,9,46,94
16,Haiter-Neto et al. 2007,2007,12,11,48,89
17,Pontual et al. 2010,2010,10,7,54,81
18,Espelid et al. 1986,1986,98,4,25,24
19,Lussi et al. 2006,2006,61,20,28,41
20,Wojtowicz et al. 2003,2003,21,18,18,83
21,Ástvaldsdóttir et al. 2012,2012,26,4,47,35
22,Xavier et al. 2011,2011,11,6,9,86
23,Firestone et al. 1998,1998,45,6,22,29
24,Zangooei Booshehry et al. 2010,2010,20,28,10,43
25,Behere et al. 2011,2011,9,11,15,65
26,Young et al. 2009,2009,9,2,41,48
27,Rockenbach et al. 2008,2008,40,6,32,22
28,Schulze et al. 2008,2008,7,5,42,46
29,Nair et al. 2001,2001,36,6,15,35
30,da Silva Neto et al. 2008,2008,19,1,45,23
32,Kutcher et al. 2006,2006,25,1,25,29
33,Erten et al. 2005,2005,16,5,19,38
34,Abesi et al. 2012,2012,13,0,13,46
35,Berkhout et al. 2007,2007,31,2,17,15
36,Mitropoulos et al. 2010,2010,12,0,12,16
37,Kalathingal et al. 2007,2007,9,2,9,20
38,Matalon et al. 2003,2003,20,1,2,13
