,Name,Year,tp,fp,fn,tn
1,Abalos C et al. 2009,2009,50,6,4,42
3,Apostolopoulou D. 2009,2009,17,13,7,74
4,Ashley P et al. 2000,2000,17,0,20,21
6,Attrill DC et al. 2001,2001,11,1,19,29
7,Bengtson AL et al. 2005a,2005,3,20,2,62
10,Boye U et al. 2012,2012,20,0,12,18
12,Braga MM et al. 2009b,2009,14,5,4,75
13,Braga MM et al. 2009b1,2009,14,5,4,75
14,Braga MM et al. 2010a,2010,9,6,4,31
15,Braga MM et al. 2010a1,2010,8,7,5,30
16,Burin C et al. 2005,2005,14,17,4,70
17,Cayley AS et al. 1997,1997,20,11,7,22
18,Chu CH et al. 2010,2010,42,20,22,60
20,Cortes DF et al. 2000,2000,8,1,11,39
21,Cortes DF et al. 2003,2003,21,11,17,103
23,Costa AM et al. 2008,2008,67,3,67,62
26,de Paula AB et al. 2011a1,2011,6,2,12,44
27,Dias da Silva PR. 2010,2010,17,7,2,24
29,Diniz MB et al. 2009b,2009,31,7,38,54
30,Diniz MB et al. 2012,2012,14,18,13,60
31,Downer MC. 1975,1975,144,13,27,46
32,Ekstrand KR et al. 1997,1997,38,9,1,52
33,Goel A et al. 2009,2009,19,5,17,42
34,Gomes J et al. 2013,2013,40,4,6,69
35,Gray GB et al. 1997,1997,16,4,3,12
36,Graye M et al. 2012,2012,13,0,6,22
39,Huth KC et al. 2008,2008,38,13,19,50
41,Jablonski-Momeni A. 2008,2008,34,5,9,45
42,Jablonski-Momeni A. 2012,2012,20,3,8,53
43,Jablonski-Momeni A. 2013,2013,36,2,15,48
44,Kavvadia K et al. 2008,2008,37,43,35,290
45,Kavvadia K et al. 2012,2012,17,30,7,157
48,Kidd EA et al. 2003a,2003,14,6,2,18
50,Kuhnisch J et al. 2009,2009,17,2,8,27
51,Kuhnisch J et al. 2009a,2009,14,1,9,41
54,Lussi A. 1993a1,1993,5,9,23,63
55,Markowitz K et al. 2013,2013,13,2,7,9
57,Mendes FM et al. 2006,2006,11,7,16,76
58,Mestriner SF et al. 2005,2005,4,2,8,24
59,Neuhaus KW et al. 2011,2011,7,4,2,24
62,Olmes A et al. 2006,2006,49,0,22,17
66,Reis A et al. 2006a,2006,12,15,4,79
67,Reis A et al. 2006a1,2006,11,11,5,83
69,Ricketts DN et al. 1995b,1995,11,0,21,16
72,Rodrigues JA etal. 2008,2008,36,17,19,47
75,Seremidi K et al. 2012,2012,15,7,5,80
76,Shoaib L et al. 2009a,2009,45,3,26,33
78,Sridhar N et al. 2009,2009,2,3,4,41
83,Verdonschot EH. 1993,1993,23,2,31,25
84,Wenzel A et al. 1990,1990,18,2,7,20
85,Wenzel A et al. 1992,1992,28,5,24,21
86,Zandona AG et al. 2009a,2009,24,5,0,31
87,Zandona AG et al. 2009a1,2009,23,5,1,31
88,Zandona AG et al. 2009a2,2009,23,5,1,31
91,Parviainen H et al. 2013,2013,15,1,4,7
92,Piovesan C et al. 2013a2,2013,5,2,4,17
93,Rodrigues JA et al. 2013,2013,36,23,13,98
94,Nakajima Y et al. 2014,2014,1,0,11,14
