,Name,Year,tp,fp,fn,tn
1,Abalos C et al. 2009,2009,50,6,4,42
3,Apostolopoulou D. 2009,2009,17,13,7,74
4,Ashley P et al. 2000,2000,17,0,20,21
5,Ashley PF et al. 1998,1998,9,2,28,64
6,Attrill DC et al. 2001,2001,11,1,19,29
8,Bengtson AL et al. 2005a1,2005,1,1,4,81
9,Bengtson AL et al. 2005a2,2005,1,3,4,79
10,Boye U et al. 2012,2012,20,0,12,18
12,Braga MM et al. 2009b,2009,14,5,4,75
13,Braga MM et al. 2009b1,2009,14,5,4,75
14,Braga MM et al. 2010a,2010,9,6,4,31
15,Braga MM et al. 2010a1,2010,8,7,5,30
16,Burin C et al. 2005,2005,14,17,4,70
20,Cortes DF et al. 2000,2000,8,1,11,39
21,Cortes DF et al. 2003,2003,21,11,17,103
22,Costa AM et al. 2002,2002,2,0,13,34
23,Costa AM et al. 2008,2008,67,3,67,62
25,de Paula AB et al. 2011a,2011,2,2,16,44
26,de Paula AB et al. 2011a1,2011,6,2,12,44
28,Diniz MB et al. 2009a,2009,53,0,24,86
29,Diniz MB et al. 2009b,2009,31,7,38,54
30,Diniz MB et al. 2012,2012,14,18,13,60
32,Ekstrand KR et al. 1997,1997,38,9,1,52
33,Goel A et al. 2009,2009,19,5,17,42
34,Gomes J et al. 2013,2013,40,4,6,69
36,Graye M et al. 2012,2012,13,0,6,22
37,Heinrich-Weltzien R. 2002,2002,56,0,168,57
38,Hintze H et al. 2003a,2003,30,4,56,68
39,Huth KC et al. 2008,2008,38,13,19,50
40,Huysmans MC et al. 1998,1998,12,0,32,68
41,Jablonski-Momeni A. 2008,2008,34,5,9,45
42,Jablonski-Momeni A. 2012,2012,20,3,8,53
43,Jablonski-Momeni A. 2013,2013,36,2,15,48
44,Kavvadia K et al. 2008,2008,37,43,35,290
45,Kavvadia K et al. 2012,2012,17,30,7,157
46,Ketley CE et al. 1993a,1993,16,1,35,48
47,Ketley CE et al. 1993a1,1993,20,0,24,56
50,Kuhnisch J et al. 2009,2009,17,2,8,27
51,Kuhnisch J et al. 2009a,2009,14,1,9,41
53,Lussi A. 1993a,1993,3,2,25,70
54,Lussi A. 1993a1,1993,5,9,23,63
55,Markowitz K et al. 2013,2013,13,2,7,9
56,Matos R et al. 2011,2011,11,6,2,388
57,Mendes FM et al. 2006,2006,11,7,16,76
58,Mestriner SF et al. 2005,2005,4,2,8,24
59,Neuhaus KW et al. 2011,2011,7,4,2,24
60,Noaves TF et al. 2012,2012,10,1,9,93
62,Olmes A et al. 2006,2006,49,0,22,17
64,Pereira AC et al. 2001,2001,26,2,125,78
66,Reis A et al. 2006a,2006,12,15,4,79
67,Reis A et al. 2006a1,2006,11,11,5,83
69,Ricketts DN et al. 1995b,1995,11,0,21,16
70,Rocha RO et al. 2003,2003,4,0,3,43
71,Rodrigues JA et al. 2009a,2009,6,3,13,157
74,Rodrigues JA etal. 2009a1,2009,1,3,4,140
75,Seremidi K et al. 2012,2012,15,7,5,80
76,Shoaib L et al. 2009a,2009,45,3,26,33
78,Sridhar N et al. 2009,2009,2,3,4,41
81,Valera FB et al. 2008,2008,8,0,11,53
82,Verdonschot EH. 1992,1992,2,5,10,71
83,Verdonschot EH. 1993,1993,23,2,31,25
84,Wenzel A et al. 1990,1990,18,2,7,20
85,Wenzel A et al. 1992,1992,28,5,24,21
87,Zandona AG et al. 2009a1,2009,23,5,1,31
88,Zandona AG et al. 2009a2,2009,23,5,1,31
91,Parviainen H et al. 2013,2013,15,1,4,7
92,Piovesan C et al. 2013a2,2013,5,2,4,17
93,Rodrigues JA et al. 2013,2013,36,23,13,98
94,Nakajima Y et al. 2014,2014,1,0,11,14
