,Name,Year,tp,fp,fn,tn
1,Braga MM et al. 2009,2009,17,3,17,94
3,Chen J et al. 2012,2012,63,8,26,159
4,da Silva RP et al. 2011a,2011,5,22,24,2138
5,Ekstrand KR et al. 2011a,2011,43,2,3,64
6,Ekstrand KR et al. 2011a1,2011,26,4,4,117
7,Fyffe HE et al. 2000a,2000,6,3,12,299
10,Haak R et al. 2002a1,2002,37,10,82,191
11,Hintze H et al. 1998,1998,7,5,11,315
12,Hintze H et al. 2003a1,2003,25,17,27,304
13,Huth KC et al. 2010,2010,9,2,22,84
15,Mialhe FL et al. 2003,2003,8,3,20,168
18,Novaes TF et al. 2010,2010,7,2,24,559
19,Peers A et al. 1993,1993,20,3,31,305
20,Shoaib L et al. 2009a1,2009,44,9,32,139
21,Soviero VM et al. 2012,2012,7,1,9,31
22,Piovesan C et al. 2013a,2013,13,2,2,117
