,Name,Year,tp,fp,fn,tn
1,Achilleos EE et al. 2013,2013,29,1,7,1
2,Akarsu S et al. 2006,2006,113,3,14,35
4,Ashley PF et al. 1998,1998,37,11,25,30
5,Attrill DC et al. 2001,2001,22,5,15,18
6,Bengtson AL et al. 2005a,2005,34,17,12,24
7,Bengtson AL et al. 2005a1,2005,21,4,25,37
8,Bengtson AL et al. 2005a2,2005,24,8,22,33
9,Bozdemir E et al. 2013,2013,124,3,2,27
10,Braga MM et al. 2009b,2009,61,6,7,24
11,Braga MM et al. 2009b1,2009,63,6,6,23
12,Braga MM et al. 2010a,2010,22,4,4,20
13,Braga MM et al. 2010a1,2010,22,5,4,19
14,Chu CH et al. 2010,2010,123,3,15,3
15,Cinar C et al. 2013,2013,28,2,5,9
18,da Silva RP et al. 2011a1,2011,569,88,266,1266
19,de Paula AB et al. 2011a,2011,30,1,26,7
20,de Paula AB et al. 2011a1,2011,35,0,21,8
21,Dias da Silva PR. 2010,2010,28,5,0,17
22,Diniz M et al. 2011,2011,77,1,21,5
23,Diniz MB et al. 2009a,2009,156,0,0,7
24,Diniz MB et al. 2012,2012,93,2,7,3
25,Goel A et al. 2009,2009,39,0,42,2
26,Gomes J et al. 2013,2013,83,3,9,17
27,Graye M et al. 2012,2012,27,1,10,3
28,Hintze H et al. 2003a,2003,84,0,59,15
29,Huth KC et al. 2008,2008,94,2,13,11
30,Jablonski-Momeni A. 2008,2008,50,2,21,20
31,Jablonski-Momeni A. 2012,2012,71,0,0,13
32,Jablonski-Momeni A. 2013,2013,83,3,3,12
39,Lussi A et al. 2003,2003,55,6,26,8
40,Mendes FM et al. 2006,2006,72,13,11,14
41,Neuhaus KW et al. 2011,2011,22,4,5,7
43,Pereira AC et al. 2009,2009,40,8,15,33
44,Pereira AC et al. 2011,2011,45,11,10,30
45,Reis A et al. 2006a,2006,68,8,23,12
46,Reis A et al. 2006a1,2006,68,9,23,11
48,Rocha RO et al. 2003,2003,24,3,5,18
50,Rodrigues JA etal. 2008,2008,105,0,6,8
52,Seremidi K et al. 2012,2012,38,5,45,19
53,Shoaib L et al. 2009a,2009,66,2,21,18
54,Souza JF et al. 2013,2013,45,5,15,14
56,Teo TK et al. 2013a,2013,71,7,7,17
57,Teo TK et al. 2013a1,2013,41,7,5,11
58,Wenzel A et al. 1990,1990,40,2,2,3
59,Zandona AG et al. 2009a,2009,49,1,4,6
60,Zandona AG et al. 2009a1,2009,48,1,5,6
61,Zandona AG et al. 2009a2,2009,48,1,5,6
62,Teo TK et al. 2014a,2014,41,7,5,11
63,Teo TK et al. 2014a1,2014,71,7,7,17
64,Piovesan C et al. 2013a2,2013,17,1,7,3
65,Rodrigues JA et al. 2013,2013,113,10,28,19
66,Nakajima Y et al. 2014,2014,4,0,12,10
67,Holtzman JS et al. 2014,2014,59,9,5,47
