Samples,Ig9373,Ig9374,Ig9375,Ig9376,Ig9377,Ig9378,Ig9379,Ig9380,Ig9381,Ig9382,Ig9383,Ig9384,Ig9385,Ig9386,Ig9387,Ig9388,Ig9389,Ig9390,Ig9391,Ig9392,Ig9393,Ig9394,Ig9395,Ig9396,Ig9397,Ig9398,Ig9399,Ig9400,Ig9401,Ig9402,Ig9403,Ig9404,Ig9405,Ig9406,Ig9459,Ig9460,Ig9461,Ig9462,Ig9463,Ig9464,Ig9465,Ig9466,Ig9467,Ig9468,Ig9469,Ig9407,Ig9408,Ig9409,Ig9410,Ig9411,Ig9412,Ig9413,Ig9414,Ig9415,Ig9416,Ig9417,Ig9418,Ig9419,Ig9420,Ig9421,Ig9422,Ig9423,Ig9424,Ig9425,Ig9426,Ig9427,Ig9428,Ig9429,Ig9430,Ig9431,Ig9432,Ig9433,Ig9434,Ig9435,Ig9436,Ig9437,Ig9438,Ig9439,Ig9440,Ig9441,Ig9442,Ig9470,Ig9471,Ig9472,Ig9473,Ig9474,Ig9475,Ig9476,Ig9477,Ig9478
MN,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,P,P,P,P,P,P,P,P,P,P,P,P,P,P,P,P,P,P,P,P,P,P,P,P,P,P,P,P,P,P,P,P,P,P,P,P,P,P,P,P,P,P,P,P,P
TM7,10,42,48,64,85,50,57,10,38,47,31,42,95,46,48,267,44,54,35,12,28,63,87,37,4,43,27,21,67,47,0,25,144,139,52,105,38,8,26,90,53,92,68,13,38,9,118,69,70,8,83,24,98,8,16,100,65,78,29,154,42,30,99,58,20,140,133,44,26,39,70,29,123,75,83,42,132,37,108,112,20,28,55,52,161,98,38,32,34,35
Granulicatella,166,350,112,195,167,299,130,170,107,162,428,237,62,121,533,215,142,234,276,144,260,138,85,206,86,233,187,178,147,84,289,190,146,49,169,127,301,414,271,100,218,220,76,303,257,131,62,167,180,176,311,252,184,144,113,151,174,250,251,74,182,56,92,159,83,84,104,75,57,76,59,143,73,86,137,20,83,85,159,177,69,179,192,129,177,157,168,134,161,111
Gemella,87,260,181,131,227,46,102,135,227,53,76,93,2,157,116,85,97,114,274,300,64,132,294,176,96,178,108,209,113,179,180,159,153,60,42,159,67,53,139,116,101,76,44,85,38,231,212,131,81,134,54,98,62,217,96,55,107,42,129,78,113,203,138,150,55,124,100,62,66,111,128,232,105,122,110,41,29,173,217,243,46,111,135,141,84,51,43,62,144,73
Streptococcus,1494,890,824,1302,905,655,691,1476,1074,1027,1239,756,1215,887,999,786,1152,1369,1004,777,986,1424,1362,921,820,841,1288,920,1013,875,739,1416,848,812,1314,785,1000,1484,768,1447,947,868,1135,1292,1337,811,645,1109,595,576,981,1013,971,947,577,438,872,1128,1240,500,941,457,697,801,844,677,402,880,420,573,580,804,556,1112,855,331,591,629,743,1031,656,747,767,676,854,878,1081,773,1011,823
Lautropia,10,27,127,106,1,19,46,54,2,33,4,4,14,16,5,55,11,28,37,7,1,1,0,0,2,6,1,58,4,95,9,0,31,15,2,61,22,4,11,1,11,5,12,4,3,23,61,6,10,14,1,0,1,0,19,6,59,15,30,16,14,8,2,5,8,12,31,11,6,13,0,5,58,1,7,36,0,21,4,9,51,20,6,0,20,72,35,32,14,19
Neisseria,125,62,139,64,32,492,231,29,17,84,42,224,1,55,0,115,84,270,70,69,212,21,12,42,100,283,42,135,5,89,348,5,108,18,21,265,215,36,270,156,231,159,139,7,64,12,38,17,183,151,2,54,40,11,323,112,208,70,15,89,64,349,126,46,43,209,237,238,393,138,148,139,143,20,120,310,137,90,12,9,252,44,84,50,76,255,108,386,70,263
Veillonella,114,120,300,275,175,40,388,113,310,476,52,255,269,379,52,368,313,73,121,235,349,454,71,212,542,200,341,426,664,301,125,322,354,446,88,324,256,25,236,346,309,308,293,181,180,454,528,129,417,307,325,218,486,150,571,606,199,262,386,557,362,489,550,253,670,606,570,521,532,360,453,209,349,393,655,577,763,484,410,182,324,270,335,477,469,404,390,274,251,280
Haemophilus,10,129,119,109,58,356,58,7,37,135,18,240,43,103,2,33,37,7,2,20,62,6,1,11,72,159,49,60,23,60,453,49,97,113,3,72,27,133,70,3,44,150,56,15,7,84,287,28,317,189,0,144,14,52,108,64,179,12,67,15,10,338,70,53,38,82,147,152,50,373,89,117,52,4,19,240,153,163,11,38,70,39,52,35,42,102,7,45,51,94
Megasphaera,1,0,2,0,0,0,23,0,10,6,0,0,1,9,0,1,2,0,0,1,5,8,1,19,4,1,0,1,12,3,0,7,26,49,0,0,1,0,0,0,1,4,11,0,0,2,18,2,1,7,0,7,11,0,12,5,0,3,1,18,23,5,8,3,31,11,23,16,21,5,22,16,10,4,0,56,56,3,29,5,40,0,4,4,1,5,0,0,0,3
